'd	d
crowdedness	crowd-ed-ness
crowding	crowd-ing
crowds	crowd-s
crowed	crow-ed
crowfoot	crow-foot
crowfoots	crow-foot-s
crowing	crow-ing
crown	crown
crown-land	crown-land
crown-lands	crown-land-s
crowned	crown-ed
crowning	crown-ing
crowns	crown-s
crows	crow-s
crucial	cruc-ial
crucially	cruc-ial-ly
crucible	crucible
crucibles	crucible-s
crucified	crucifi-ed
crucifies	crucif-ies
crucifix	crucifix
crucifixes	crucifix-es
crucifixion	crucifix-ion
crucifixions	crucifix-ion-s
cruciform	cruciform
crucify	crucify
crucifying	crucify-ing
crude	crude
crudely	crude-ly
cruder	crude-r
crudest	crude-st
crudities	crud-it-ies
crudity	crud-ity
cruel	cruel
crueller	cruel-ler
cruellest	cruel-lest
cruelly	cruel-ly
cruelness	cruel-ness
cruelties	cruel-t-ies
cruelty	cruel-ty
cruet	cruet
cruet-stand	cruet-stand
cruet-stands	cruet-stand-s
cruets	cruet-s
cruise	cruise
cruised	cruise-d
cruiser	cruis-er
cruisers	cruis-er-s
cruises	cruise-s
cruising	cruis-ing
crumb	crumb
crumble	crumble
crumbled	crumble-d
crumbles	crumble-s
crumblier	crumbl-ier
crumbliest	crumbl-iest
crumbling	crumbl-ing
crumbly	crumbl-y
crumbs	crumb-s
crummier	crumm-ier
crummiest	crumm-iest
crummy	crummy
crumpet	crumpet
crumpets	crumpet-s
crumple	crumple
crumpled	crumple-d
crumples	crumple-s
crumpling	crumpl-ing
crunch	crunch
crunched	crunch-ed
crunches	crunch-es
crunchier	crunch-ier
crunchiest	crunch-iest
crunching	crunch-ing
crunchy	crunch-y
crupper	crupper
cruppers	crupper-s
crusade	crusade
crusaded	crusade-d
crusader	crusad-er
crusaders	crusad-er-s
crusades	crusade-s
crusading	crusad-ing
cruse	cruse
cruses	cruse-s
crush	crush
crushed	crush-ed
crushes	crush-es
crushing	crush-ing
crushingly	crush-ing-ly
crust	crust
crustacean	crustacean
crustaceans	crustacean-s
crusted	crust-ed
crustier	crust-ier
crustiest	crust-iest
crustily	crust-i-ly
crustiness	crust-i-ness
crusts	crust-s
crusty	crust-y
crutch	crutch
crutches	crutch-es
crux	crux
cruxes	crux-es
cruzeiro	cruzeiro
cruzeiros	cruzeiro-s
cry	cry
crybabies	cry-bab-ies
crybaby	cry-baby
crying	cry-ing
crypt	crypt
cryptic	crypt-ic
cryptical	crypt-ical
cryptically	crypt-ic-ally|crypt-ical-ly
cryptogram	crypto-gram
cryptograms	crypto-gram-s
cryptographer	crypto-graph-er
cryptographers	crypto-graph-er-s
cryptographic	crypto-graph-ic
cryptographically	crypto-graph-ic-ally
cryptography	crypto-graphy
crypts	crypt-s
crystal	crystal
crystal-gazing	crystal-gaz-ing
crystalline	crystall-ine
crystallization	crystall-iz-ation
crystallizations	crystall-iz-ation-s
crystallize	crystall-ize
crystallized	crystall-ize-d
crystallizes	crystall-ize-s
crystallizing	crystall-iz-ing
crystals	crystal-s
cu.	cu.
cub	cub
cubbyhole	cubbyhole
cubbyholes	cubbyhole-s
cube	cube
cubed	cube-d
cubes	cube-s
cubic	cub-ic
cubical	cub-ical
cubicle	cubicle
cubicles	cubicle-s
cubing	cub-ing
cubism	cub-ism
cubist	cub-ist
cubists	cub-ist-s
cubit	cubit
cubits	cubit-s
cubs	cubs|cub-s
cuckold	cuckold
cuckolded	cuckold-ed
cuckolding	cuckold-ing
cuckoldry	cuckold-ry
cuckolds	cuckold-s
cuckoo	cuckoo
cuckoo-clock	cuckoo-clock
cuckoo-clocks	cuckoo-clock-s
cuckoos	cuckoo-s
cucumber	cucumber
cucumbers	cucumber-s
cud	cud
cuddle	cuddle
cuddled	cuddle-d
cuddles	cuddle-s
cuddlesome	cuddle-some
cuddlier	cuddl-ier
cuddliest	cuddl-iest
cuddling	cuddl-ing
cuddly	cuddl-y
cudgel	cudgel
cudgelled	cudgell-ed
cudgelling	cudgell-ing
cudgels	cudgel-s
cue	cue
cues	cue-s
cuff	cuff
cuffed	cuff-ed
cuffing	cuff-ing
cuffs	hand-cuffscuffs|cuff-s
cuirass	cuirass
cuirasses	cuirass-es
cuirassier	cuirass-ier
cuirassiers	cuirass-ier-s
cuisine	cuisine
cul-de-sac	cul-de-sac
cul-de-sacs	cul-de-sac-s
culinary	culinary
cull	cull
culled	cull-ed
cullender	cullender
cullenders	cullender-s
culling	cull-ing
culls	cull-s
culmination	culminate-in-ion
culminations	culminate-in-ion-s
culotte	culotte
culottes	culotte-s
culpability	culpabil-ity
culpable	culpable
culpably	culpab-ly
culprit	culprit
culprits	culprit-s
culs-de-sac	cul-de-sac-s
cult	cult
cultivable	cultiv-able
cultivate	cultivate
cultivated	cultivat-ed|cultivate-d
cultivates	cultivate-s
cultivating	cultivat-ing
cultivation	cultivat-ion
cultivator	cultivat-or
cultivators	cultivat-or-s
cults	cult-s
cultural	cultur-al
culturally	cultur-al-ly
culture	culture
cultured	cultur-ed
cultures	culture-s
culvert	culvert
culverts	culvert-s
cumber	cumber
cumbered	cumber-ed
cumbering	cumber-ing
cumbers	cumber-s
cumbersome	cumber-some
cumbrous	cumbr-ous
cumin	cumin
cummerbund	cummerbund
cummerbunds	cummerbund-s
cumulation	cumulation
cumulations	cumulation-s
cumulative	cumulat-ive
cumulatively	cumulat-ive-ly
cumuli	cumuli
cumulonimbi	cumulonimbi
cumulonimbus	cumul-o-nimbus
cumulonimbuses	cumul-o-nimbus-es
cumulus	cumulus
cuneiform	cuneiform
cunnilinctus	cunnilinctus
cunnilingus	cunnilingus
cunning	cunn-ing
cunningly	cunn-ing-ly
cunt	cunt
cunts	cunt-s
cup	cup
cup-final	cup-final
cup-finals	cup-final-s
cup-tie	cup-tie
cup-ties	cup-tie-s
cupbearer	cup-bear-er
cupbearers	cup-bear-er-s
cupboard	cup-board
cupboard-love	cup-board-love
cupboards	cup-board-s
cupcake	cup-cake
cupcakes	cup-cake-s
cupful	cup-ful
cupfuls	cup-ful-s
cupid	cupid
cupidity	cupidity
cupids	cupid-s
cupola	cupola
cupolas	cupola-s
cuppa	cupp-a
cuppas	cupp-a-s
cupped	cupp-ed
cupping	cupp-ing
cupric	cupric
cupro-nickel	cupro-nickel
cups	cup-s
cur	cur
curability	cur-abil-ity
curable	cur-able
curably	cur-ab-ly
curacao	curacao
curacies	cura-c-ies
curacoa	curacoa
curacy	cura-cy
curate	curate
curates	curate-s
curative	cur-ative
curatives	cur-ative-s
curator	curator
curators	curator-s
curatorship	curator-ship
curatorships	curator-ship-s
curb	curb
curbed	curb-ed
curbing	curb-ing
curbs	curb-s
curd	curd
curdle	curdle
curdled	curdle-d
curdles	curdle-s
curdling	curdl-ing
curds	curd-s
cure	cure
cure-all	cure-all
cure-alls	cure-all-s
cured	cure-d
cures	cure-s
curettage	curett-age
curette	curette
curetted	curette-d
curettes	curette-s
curetting	curett-ing
curfew	curfew
curfews	curfew-s
curia	curia
curiae	curiae
curing	cur-ing
curio	curio
curios	curio-s
curiosities	curios-it-ies
curiosity	curios-ity
curious	curious
curiously	curious-ly
curl	curl
curled	curl-ed
curler	curl-er
curlers	curl-er-s
curlew	curlew
curlews	curlew-s
curlicue	curl-i-cue
curlicues	curl-i-cue-s
curlier	curl-ier
curliest	curl-iest
curliness	curl-i-ness
curling	curl-ing
curling-pins	curl-ing-pins
curling-tongs	curl-ing-tongs
curls	curl-s
curly	curl-y
curmudgeon	curmudgeon
curmudgeons	curmudgeon-s
currant	currant
currants	currant-s
currencies	curr-enc-ies
currency	curr-ency
current	current
currently	current-ly
currents	current-s
curricula	curricula
curriculum	curriculum
curriculums	curriculum-s
curried	curri-ed
curries	curr-ies
currish	curr-ish
currishly	curr-ish-ly
curry	curry
curry-powder	curry-powder
currying	curry-ing
curs	cur-s
curse	curse
cursed	curs-ed|curse-d
cursedly	curs-ed-ly
curses	curse-s
cursing	curs-ing
cursive	cursive
cursively	cursive-ly
cursorily	cursori-ly
cursory	cursory
curst	curs-t
curt	curt
curtail	curtail
curtailed	curtail-ed
curtailing	curtail-ing
curtailment	curtail-ment
curtailments	curtail-ment-s
curtails	curtail-s
curtain	curtain
curtain-call	curtain-call
curtain-calls	curtain-call-s
curtain-lecture	curtain-lecture
curtain-lectures	curtain-lecture-s
curtain-raiser	curtain-rais-er
curtain-raisers	curtain-rais-er-s
curtained	curtain-ed
curtaining	curtain-ing
curtains	curtain-s|curtains
curter	curt-er
curtest	curt-est
curtly	curt-ly
curtness	curt-ness
curtsied	curtsi-ed
curtsies	curts-ies
curtsy	curtsy
curtsying	curtsy-ing
curvaceous	curvac-eous
curvaceously	curvac-eous-ly
curvature	curvat-ure
curve	curve
curved	curve-d
curves	curve-s
curving	curv-ing
cushier	cush-ier
cushiest	cush-iest
cushiness	cushi-ness
cushion	cushion
cushioned	cushion-ed
cushioning	cushion-ing
cushions	cushion-s
cushy	cushy
cusp	cusp
cuspidor	cuspidor
cuspidors	cuspidor-s
cusps	cusp-s
cuss	cuss
cussed	cuss-ed
cussedly	cuss-ed-ly
cussedness	cuss-ed-ness
cusses	cuss-es
cussing	cuss-ing
custard	custard
custards	custard-s
custodial	custodi-al
custodian	custodi-an
custodians	custodi-an-s
custodianship	custodi-an-ship
custody	custody
custom	custom
custom-built	custom-built
custom-made	custom-made
customarily	custom-ari-ly
customary	custom-ary
customer	customer
customers	customer-s
customhouse	custom-house
customhouses	custom-house-s
customs	custom-s|customs
cut	cut
cut-and-dried	cut-and-dri-ed
cut-and-dry	cut-and-dry
cut-price	cut-price
cut-rate	cut-rate
cutaneous	cutaneous
cutaway	cut-a-way
cutaways	cut-a-way-s
cutback	cut-back
cutbacks	cut-back-s
cute	cute
cutely	cute-ly
cuteness	cute-ness
cuter	cute-r
cutest	cute-st
cuticle	cuticle
cuticles	cuticle-s
cutlass	cutlass
cutlasses	cutlass-es
cutler	cutler
cutlers	cutler-s
cutlery	cutl-ery
cutlet	cutlet
cutlets	cutlet-s
cutout	cut-out
cutouts	cut-out-s
cutpurse	cut-purse
cutpurses	cut-purse-s
cuts	cut-s
cutter	cutt-er
cutters	cutt-er-s
cutthroat	cut-throat
cutthroats	cut-throat-s
cutting	cutt-ing
cutting-room	cutt-ing-room
cutting-rooms	cutt-ing-room-s
cuttingly	cutt-ing-ly
cuttings	cutt-ing-s
cuttle	cuttle
cuttlefish	cuttle-fish
cuttlefishes	cuttle-fish-es
cuttles	cuttle-s
cutworm	cut-worm
cutworms	cut-worm-s
cwm	cwm
cwms	cwm-s
cwt	cwt
cyanide	cyanide
cybernetic	cybernetic
cybernetically	cybernetic-ally
cybernetics	cybernetic-s
cyclamate	cyclamate
cyclamates	cyclamate-s
cyclamen	cyclamen
cyclamens	cyclamen-s
cycle	cycle
cycled	cycle-d
cycles	cycle-s
cyclic	cycl-ic
cyclical	cycl-ical
cyclically	cycl-ic-ally|cycl-ical-ly
cycling	cycl-ing
cyclist	cycl-ist
cyclists	cycl-ist-s
cyclone	cyclone
cyclones	cyclone-s
cyclonic	cyclon-ic
cyclopaedia	cyclopaedia
cyclopaedias	cyclopaedia-s
cyclostyle	cyclo-style
cyclostyled	cyclo-style-d
cyclostyles	cyclo-style-s
cyclostyling	cyclo-styl-ing
cyclotron	cyclo-electr-ontron
cyclotrons	cyclo-electr-ontron-s
cygnet	cygnet
cygnets	cygnet-s
cylinder	cylinder
cylinders	cylinder-s
cylindrical	cylindr-ical
cylindrically	cylindr-ical-ly
cymbal	cymbal
cymbalist	cymbal-ist
cymbalists	cymbal-ist-s
cymbals	cymbal-s
cynic	cynic
cynical	cynic-al
cynically	cynic-al-ly
cynicism	cynic-ism
cynicisms	cynic-ism-s
cynics	cynic-s
cynosure	cynosure
cynosures	cynosure-s
cypress	cypress
cypresses	cypress-es
cyst	cyst
cystitis	cyst-itis
cysts	cyst-s
cytologist	cytolog-ist
cytologists	cytolog-ist-s
cytology	cytology
czar	czar
czarina	czarina
czarinas	czarina-s
czars	czar-s
d	d
d's	d-s
d'you	d-you
dab	dab
dabbed	dabb-ed
dabbing	dabb-ing
dabble	dabb-le
dabbled	dabb-le-d
dabbler	dabb-l-er
dabblers	dabb-l-er-s
dabbles	dabb-le-s
dabbling	dabb-l-ing
dabchick	dabchick
dabchicks	dabchick-s
dabs	dab-s
dace	dace
dacha	dacha
dachas	dacha-s
dachshund	dachshund
dachshunds	dachshund-s
dacoit	dacoit
dacoities	dacoit-ies
dacoits	dacoit-s
dacoity	dacoit-y
dactyl	dactyl
dactylic	dactyl-ic
dactylics	dactyl-ic-s
dactyls	dactyl-s
dad	dad
daddies	dadd-ies
daddy	dadd-y
daddy-longlegs	daddy-longlegs
dado	dado
dados	dado-s
dads	dad-s
daemon	daemon
daemonic	daemon-ic
daemonically	daemon-ic-ally
daemons	daemon-s
daffodil	daffodil
daffodils	daffodil-s
daft	daft
dafter	daft-er
daftest	daft-est
daftly	daft-ly
daftness	daft-ness
dagger	dagger
daggers	dagger-s
dago	dago
dagos	dago-s
daguerreotype	daguerreotype
daguerreotypes	daguerreotype-s
dahlia	dahl-ia
dahlias	dahl-ia-s
dailies	dai-l-ies
daily	dai-ly
daintier	daint-ier
dainties	daint-ies
daintiest	daint-iest
daintily	dainti-ly
daintiness	dainti-ness
dainty	dainty
daiquiri	daiquiri
daiquiris	daiquiri-s
dairies	dair-ies
dairy	dairy
dairy-farm	dairy-farm
dairy-farming	dairy-farm-ing
dairy-farms	dairy-farm-s
dairying	dairy-ing
dairymaid	dairy-maid
dairymaids	dairy-maid-s
dairyman	dairy-man
dairymen	dairymen
dais	dais
daises	dais-es
daisies	dais-ies
daisy	daisy
dale	dale
dales	dale-s
dalesman	dale-s-man
dalesmen	dalesmen
dalliance	dalli-ance
dallied	dalli-ed
dallies	dall-ies
dally	dally
dallying	dally-ing
dalmatian	dalmati-an
dalmatians	dalmati-an-s
dam	dam
damage	damage
damaged	damage-d
damages	damage-s|damages
damaging	damag-ing
damascene	damascene
damascened	damascene-d
damascenes	damascene-s
damascening	damascen-ing
damask	damask
dame	dame
dames	dame-s
dammed	damm-ed
damming	damm-ing
damn	damn
damnable	damn-able
damnably	damn-ab-ly
damnation	damnation|damn-ation
damned	damn-ed
damnedest	damn-ed-est
damning	damn-ing
damns	damn-s
damp	damp
damped	damp-ed
dampen	damp-en
dampened	damp-en-ed
dampening	damp-en-ing
dampens	damp-en-s
damper	damp-er
dampers	damp-er-s
dampest	damp-est
damping	damp-ing
dampish	damp-ish
damply	damp-ly
dampness	damp-ness
damps	damp-s
dams	dam-s
damsel	damsel
damsels	damsel-s
damson	damson
damsons	damson-s
dance	dance
dance-band	dance-band
dance-bands	dance-band-s
dance-hall	dance-hall
dance-halls	dance-hall-s
dance-orchestra	dance-orchestra
dance-orchestras	dance-orchestra-s
danced	dance-d
dancer	danc-er
dancers	danc-er-s
dances	dance-s
dancing	danc-ing
dandelion	dandelion
dandelions	dandelion-s
dander	dander
dandier	dand-ier
dandies	dand-ies
dandiest	dand-iest
dandified	dandifi-ed|dand-ifi-ed
dandifies	dand-if-ies
dandify	dand-ify
dandifying	dand-ify-ing
dandle	dandle
dandled	dandle-d
dandles	dandle-s
dandling	dandl-ing
dandruff	dandruff
dandy	dandy
danger	danger
dangerous	danger-ous
dangerously	danger-ous-ly
dangers	danger-s
dangle	dangle
dangled	dangle-d
dangles	dangle-s
dangling	dangl-ing
dank	dank
danker	dank-er
dankest	dank-est
dankness	dank-ness
daphne	daphne
daphnes	daphne-s
dapper	dapper
dapple	dapple
dapple-grey	dapple-grey
dapple-greys	dapple-grey-s
dappled	dappl-ed|dapple-d
dapples	dapple-s
dappling	dappl-ing
dare	dare
dared	dare-d
daredevil	dare-devil
daredevils	dare-devil-s
daren't	dare-nt
dares	dare-s
daresay	dare-say
daring	dar-ing
daringly	dar-ing-ly
dark	dark
darken	dark-en
darkened	dark-en-ed
darkening	dark-en-ing
darkens	dark-en-s
darker	dark-er
darkest	dark-est
darkies	dark-ies
darkly	dark-ly
darkness	dark-ness
darkroom	dark-room
darkrooms	dark-room-s
darky	dark-y
darling	dar-ling
darlings	dar-ling-s
darn	darn
darned	darn-ed
darning	darn-ing
darning-needle	darn-ing-needle
darning-needles	darn-ing-needle-s
darns	darn-s
dart	dart
dartboard	dart-board
dartboards	dart-board-s
darted	dart-ed
darting	dart-ing
darts	darts|dart-s
dash	dash
dashboard	dash-board
dashboards	dash-board-s
dashed	dash-ed
dashes	dash-es
dashing	dash-ing
dashingly	dash-ing-ly
data	data
datable	dat-able
date	date
dated	dat-ed|date-d
dateless	date-less
dateline	date-line
datelines	date-line-s
dates	dates|date-s
dating	dat-ing
dative	dative
datives	dative-s
datum	datum
daub	daub
daubed	daub-ed
dauber	daub-er
daubers	daub-er-s
daubing	daub-ing
daubs	daub-s
daughter	daughter
daughter-in-law	daughter-in-law
daughterly	daughter-ly
daughters	daughter-s
daughters-in-law	daughter-in-law-s
daunt	daunt
daunted	daunt-ed
daunting	daunt-ing
dauntless	daunt-less
dauntlessly	daunt-less-ly
daunts	daunt-s
dauphin	dauphin
dauphins	dauphin-s
davenport	davenport
davenports	davenport-s
davit	davit
davits	davit-s
dawdle	dawdle
dawdled	dawdle-d
dawdler	dawdl-er
dawdlers	dawdl-er-s
dawdles	dawdle-s
dawdling	dawdl-ing
dawn	dawn
dawned	dawn-ed
dawning	dawn-ing
dawns	dawn-s
day	day
day-book	day-book
day-books	day-book-s
day-care	day-care
day-labourer	day-labour-er
day-labourers	day-labour-er-s
day-long	day-long
day-return	day-re-turn
day-returns	day-re-turn-s
day-school	day-school
day-schools	day-school-s
day-spring	day-spring
day-springs	day-spring-s
day-to-day	day-to-day
dayboy	day-boy
dayboys	day-boy-s
daybreak	day-break
daydream	day-dream
daydreamed	day-dream-ed
daydreamer	day-dream-er
daydreamers	day-dream-er-s
daydreaming	day-dream-ing
daydreams	day-dream-s
daygirl	day-girl
daygirls	day-girl-s
daylight	day-light
daylight-saving	day-light-sav-ing
dayroom	day-room
dayrooms	day-room-s
days	days|day-s
daytime	day-time
daze	daze
dazed	daze-d
dazedly	daz-ed-ly
dazes	daze-s
dazing	daz-ing
dazzle	dazzle
dazzled	dazzle-d
dazzles	dazzle-s
dazzling	dazzl-ing
de-escalate	de-escalate
de-escalated	de-escalate-d
de-escalates	de-escalate-s
de-escalating	de-escalat-ing
de-escalation	de-escalat-ion
de-ice	de-ice
de-iced	de-ice-d
de-ices	de-ice-s
de-icing	de-ic-ing
deacon	deacon
deaconess	deacon-ess
deaconesses	deacon-ess-es
deacons	deacon-s
dead	dead
dead-beat	dead-beat
deaden	dead-en
deadened	dead-en-ed
deadening	dead-en-ing
deadens	dead-en-s
deadlier	dead-l-ier
deadliest	dead-l-iest
deadline	dead-line
deadlines	dead-line-s
deadliness	dead-li-ness
deadlock	dead-lock
deadlocks	dead-lock-s
deadly	dead-ly
deadpan	dead-pan
deadweight	dead-weight
deadwood	dead-wood
deaf	deaf
deaf-aid	deaf-aid
deaf-aids	deaf-aid-s
deaf-mute	deaf-mute
deaf-mutes	deaf-mute-s
deafen	deaf-en
deafened	deaf-en-ed
deafening	deaf-en-ing
deafens	deaf-en-s
deafer	deaf-er
deafest	deaf-est
deafness	deaf-ness
deal	deal
dealer	deal-er
dealers	deal-er-s
dealing	deal-ing
dealings	dealings|deal-ing-s
deals	deal-s
dealt	dealt
dean	dean
deaneries	dean-er-ies
deanery	dean-ery
deans	dean-s
dear	dear
dearer	dear-er
dearest	dear-est|dearest
dearies	dear-ies
dearly	dear-ly
dearness	dear-ness
dears	dear-s
dearth	dearth
deary	dear-y
death	dea-th
death's-head	dea-th-s-head
death's-heads	dea-th-s-head-s
death-mask	dea-th-mask
death-masks	dea-th-mask-s
death-rate	dea-th-rate
death-rates	dea-th-rate-s
death-roll	dea-th-roll
death-rolls	dea-th-roll-s
death-trap	dea-th-trap
death-traps	dea-th-trap-s
death-warrant	dea-th-warrant
death-warrants	dea-th-warrant-s
deathbed	dea-th-bed
deathbeds	dea-th-bed-s
deathblow	dea-th-blow
deathblows	dea-th-blow-s
deathless	dea-th-less
deathlessly	dea-th-less-ly
deathlike	dea-th-like
deathly	dea-th-ly
deaths	dea-th-s
deathwatch	dea-th-watch
deathwatches	dea-th-watch-es
deb	deb
debacle	debacle
debacles	debacle-s
debag	debag
debagged	debagg-ed
debagging	debagg-ing
debags	debag-s
debark	de-bark
debarkation	de-bark-ation
debarkations	de-bark-ation-s
debarked	de-bark-ed
debarking	de-bark-ing
debarks	de-bark-s
debase	debase
debased	debase-d
debasement	debase-ment
debasements	debase-ment-s
debases	debase-s
debasing	debas-ing
debatable	debat-able
debate	debate
debated	debate-d
debater	debat-er
debaters	debat-er-s
debates	debate-s
debating	debat-ing
debauch	debauch
debauched	debauch-ed
debauchee	debauch-ee
debauchees	debauch-ee-s
debaucheries	debauch-er-ies
debauchery	debauch-ery
debauches	debauch-es
